ID,Category,Vendor,Model,Serial,Description,Modules,ETAG,Last Cal Date,Next Cal Date,IP Address,Purchase Value,Year of Purchase,check,Location,Comments,uuid,fff,bbb
302,ANALYZER,OTHER,N4433A,MY52230053,"ECal module, 300 kHz to 20 GHz",,E625086,,,,"13,000",2015,1,bench 17,Sent for calibration in Keysight 30/5/2019 ISM:1304255758 po:3000937243,,,
303,ANALYZER,OTHER,B2912A ,MY51140329,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,PO:3000937243,,,
304,ANALYZER,OTHER,B2912A ,MY51140333,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,Sent to Dekel PO PO:3000937243,,,
305,ANALYZER,OTHER,B2912A ,MY51140334,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,PO:3000937243,,,
306,ANALYZER,OTHER,B2912A ,MY51140335,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,Sent to Dekel PO PO:3000937243,,,
307,ANALYZER,OTHER,B2912A ,MY51140337,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,PO:3000937243,,,
308,ANALYZER,OTHER,B2912A ,MY51140116,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,repaired PO:3000937243,,,
309,ANALYZER,OTHER,B2912A ,MY51140136,Precision Source/Measure Unit,,E625089,8.8.2016,8.8.2017,,"7,000",2015,1,bench 17,PO:3000937243,,,
310,ANALYZER,OTHER,34980A ,MY53153933,Multifunction Switch/Measure Unit,,E625085,8.8.2016,8.8.2017,,"3,000",2015,1,bench 17,under warenty until 31.3.2018 PO:3000937243,,,
311,ANALYZER,OTHER, N5183A ,MY50143010,Precision Source/Measure Unit,,E625090,8.8.2016,8.8.2017,,"30,000",2015,1,bench 17,Under warenty until 31.3.2018 PO:3000937243,,,
312,ANALYZER,OTHER,  J9022,AD674,JITTER GENERATOR ,,E559794,,,,"28,000",2015,1,bench 17,,,,
313,ANALYZER,OTHER,  J9022,AD675,JITTER GENERATOR ,,E559795,,,,"28,000",2015,1,bench 17,Back from repair. ,,,
314,ANALYZER,OTHER,  CR175A,B171649,Bertscope clock recovery,,,27.8.16,27.8.17,,,,0,bench 17,"Waterfalled to MX, Chavez Cuadras, Ricardo Usiel ISM: 1304658836 ",,,
315,ANALYZER,OTHER,  TLA7012,C040004,LOGIC ANALYZER  PORTABLE MAINFRAME,TLA7ac2,,,,,,,0,bench 17,Waterfall to BA ISM:1304253661,,,
316,ANALYZER,OTHER,  DSA72004C  ,B110415,Scope,,E625095,,,,"62,000",<2015,1,bench 17,LUMA Installed,,,
317,ANALYZER,OTHER,  TLA7012,c030184,LOGIC ANALYZER  PORTABLE MAINFRAME,tla7c3,,,,,,,0,bench 17,Moved to Guy Greenwald CCD for scopes,,,
318,ANALYZER,OTHER,  BSA286CL,B010004,bertscope 17.5 Gb/sBit Error Ratio Analyzer,,E559793,8.2.16,8.2.17,,,,0,bench 17,"Moved to Chavez Cuadras, Ricardo U ISM #1304628760",,,
319,ANALYZER,OTHER,  SP6T ,TBD,Switch Matrix,,E605391,,,,"135,000",2015,1,bench 17,in use,,,
320,ANALYZER,OTHER,CR125A,B172051,Variable Clock Recovery,,,,,,,,0,bench 17,Traded for Anrtisu system  ISM:1303641277,,,
321,ANALYZER,OTHER,DPP125C,B010134,Variable Clock Recovery,,,22.8.16,22.8.17,,,,0,bench 17,"Moved to Chavez Cuadras, Ricardo U ISM #1304628760",,,
322,ANALYZER,OTHER,DSAZ504A,MY55160108,Infiniium Oscilloscope: 50 GHz,,E559841,,,,"270,000",2015,1,bench 17,new not in the agreement,,,
323,ANALYZER,OTHER,DSAZ334A,MY55160103,Infiniium Oscilloscope: 33 GHz,,E559842,8.8.2016,8.8.2017,,,,0,bench 17,new not in the agreement- LUMA Installed -  moved to K.H in Penang ISM #1304887566,,,
324,ANALYZER,OTHER,HSM1001A,798,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,new not in the agreement3001026467,,,
325,ANALYZER,OTHER,HSM1001A,799,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,new not in the agreement3001026467,,,
326,ANALYZER,OTHER,HSM1001A,800,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
327,ANALYZER,OTHER,HSM1001A,794,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
328,ANALYZER,OTHER,HSM1001A,797,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
329,ANALYZER,OTHER,HSM1001A,795,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
330,ANALYZER,OTHER,HSM1001A,793,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
331,ANALYZER,OTHER,HSM1001A,792,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
332,ANALYZER,OTHER,HSM1001A,796,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement3001026467,,,
333,ANALYZER,OTHER,HSM1001A,801,1GHZ RF SYNTHESIZER,,E605392,,,,"16,000",2015,1,bench 17,Sent to Haifa - new not in the agreement po:3001026467 ,,,
334,ANALYZER,OTHER,Summit X670,1503N-42870,Network switch,,E625080,,,,"3,500",2015,1,bench 17,PO:3001036735,,,
335,ANALYZER,OTHER,1169A,US55012322,Keysight Probe Amplifier,,,8.8.2016,8.8.2017,,"9,000",2015,1,bench 17,new not in the agreement,,,
336,ANALYZER,OTHER,1169A,US55012081,Keysight Probe Amplifier,,,8.8.2016,8.8.2017,,"9,000",2015,1,bench 17,new not in the agreement,,,
337,ANALYZER,OTHER,PSPL5320B,B010121,Diff Pulse Splitter - Balun,,E559840,,,,"3,000",2016,1,,in use,,,
338,ANALYZER,OTHER,PSPL5320B,B010118,Diff Pulse Splitter - Balun,,E559839,,,,"3,000",2016,1,,in use,,,
339,ANALYZER,OTHER,CR125A,170299,Variable Clock Recovery,,E559797,,,,,,0,bench 17,Traded for Anritsu Bert,,,
340,ANALYZER,OTHER,XGS12,XGS12-G0960032,Network Test Device,,E559815,,,,"140,000",2016,1,bench 17,in use PO:3001270084 ,,,
341,ANALYZER,OTHER,DPO73304DX   ,B260501,Scope,,E559816,,,,"100,000",2016,1,bench 17,in use - LUMA Installed,,,
342,ANALYZER,OTHER,E8527D,MY53403689,PSG Analog Signal Generator,,E559817,22.11.16,22.11.17,,"35,000",<2015,1,bench 17,in use,,,
343,ANALYZER,OTHER,E8527D,MY53403688,PSG Analog Signal Generator,,E559818,22.11.16,22.11.17,,"35,000",<2015,1,bench 17,in use,,,
344,ANALYZER,OTHER,N5183B,MY53271395,MXG Analog Signal Generator,,E559819,22.11.16,22.11.17,,,,0,bench 17,ISM:1303610428 -  sent back to vendor for replacment ,,,
345,ANALYZER,OTHER,86116C,US53120440,Electrical-Optical Module ,,E559820,1.12.16,1.12.17,,,,0,bench 17,ISM:1303600152 -  sent back to vendor for replacment ,,,
346,ANALYZER,OTHER,HPDX7-S6,H143075,Synopsys HAPS DX7 S6 FPGA Board,,E559821,,,,,,0,bench 17,Waterfalled to K.H PG,,,
347,ANALYZER,OTHER,PSPL5315,B010152,Diff Balun tester,,E559822,16.12.16,16.12.17,,"2,800",2017,1,bench 17,200001313333 PO:3001271152 WBS:C04295.IPG.37058-019204A,,,
348,ANALYZER,OTHER,PSPL5315,B010153,Diff Balun tester,,E559823,16.12.16,16.12.17,,"2,800",2017,1,bench 17,200001313334 PO:3001271152 WBS:C04295.IPG.37058-019204A,,,
349,ANALYZER,OTHER,PSPL5315,B010155,Diff Balun tester,,E559824,16.12.16,16.12.17,,"2,800",2017,1,bench 17,200001313335 PO:3001271152 WBS:C04295.IPG.37058-019204A,,,
350,ANALYZER,OTHER,E8527D,MY56440314, 31.8GHz PSG Analog Signal Generator,,E559825,8.3.17,8.3.18,,"50,000",2015,1,bench 17,in use,,,
351,ANALYZER,OTHER,E8527D,MY56440074,PSG Analog Signal Generator,,E559826,8.3.17,8.3.18,,"35,000",2015,1,bench 17,in use,,,
352,ANALYZER,OTHER,HPDX7-S6,H180353,Synopsys HAPS DX7 S6 FPGA Board,,E559833,,,,,,0,bench 17,Waterfalled to K.H PG,,,
353,ANALYZER,OTHER,HPDX7-S6,H180356,Synopsys HAPS DX7 S6 FPGA Board,,E559834,,,,,,0,bench 17,Waterfalled to K.H PG,,,
354,ANALYZER,OTHER,MP1900A,6261783371,Bert system,,E559835,,,,"300,000",2017,1,bench 17,in use PO:3001457991,,,
355,ANALYZER,OTHER,N5227B,US57180239, 67Ghz PNA NETWORK ANALYZER,,E605383,1.11.2017,1.11.2018,10.12.215.134,"210,000",2017,1,bench 17,Sent to Keusight for repair 23/6/20 ISM:1304575471,,,
356,ANALYZER,OTHER,N7015A,US57220107,Type C High Speed Fixture ,,,,,,,,0,bench 17,"transferred to CCD, ISM:1304247064 Sudman Shay  WWID 11528732",,,
357,ANALYZER,OTHER,N7015A,US57220105,Type C High Speed Fixture ,,,,,,,,0,bench 17,"transferred to CCD, ISM:1304247064 Sudman Shay  WWID 11528732",,,
358,ANALYZER,OTHER,N7015A,US55440217,Type C High Speed Fixture ,,,,,,,,0,bench 17,"transferred to CCD, ISM:1304247064 Sudman Shay  WWID 11528732",,,
359,ANALYZER,OTHER,MP1900A,6261788375,Bert system,,E605388,,,,"535,000",2018,1,bench 17,in use PO:3001266602,,,
360,ANALYZER,OTHER,PSPL5320B,B010177,Diff Balun tester,,E605400,,,,3000,2017,1,bench 17,in use,,,
361,ANALYZER,OTHER,N4694D,MY57450047,"ECal Module, 10 MHz to 67 GHz, 1.85 mm, 2-por",,E605384,,,,"15,000",2017,1,bench 17,in use MY52230555,,,
362,ANALYZER,OTHER,85058E,MY53400140,"Economy Mechanical Calibration Kit, DC to 67 GHz, 1.85 mm",,E605385,,,,"10,000",2017,1,bench 17,in use,,,
363,ANALYZER,OTHER,J9027,AE194,Noisecome J9027 Noise Generator,,,,,,"45,000",2015,1,bench 17,in use,,,
364,ANALYZER,OTHER,UFX7115A,AE207,Noisecome UFX7115A Prog. Noise generator,,,,,,"25,000",2015,1,bench 17,in use,,,
365,ANALYZER,OTHER,33600A,MY53801328,Keysight 33600A Wave form generator ,,,,,,,,0,bench 17,Moved to PG12 ISM #1304622014,,,
366,ANALYZER,OTHER,16901A,MY50010182,Keysight Logic analyzer 16901A,16902 MY50010329,E588838,,,,"25,000",2015,1,bench 17,in use,,,
367,ANALYZER,OTHER,DCA-X 86100D,MY57270144,Sampling scope,86108B,E588839,,,,,,0,bench 17,Waterfalled to BA ISM:1304279477 Asset:200001534383 ,,,
368,ANALYZER,OTHER,M8020A,MY54300685,JBERT,M8062A M8041A,E559837,,,,,,0,bench 17,Moved to MIG PG2 for K.H ISM:1304589594,,,
369,ANALYZER,OTHER,E3631A,MY50290059,6A 25V POWER SUPPLY - DUAL,,E552994,,,,700,2015,1,bench 17,in use,,,
370,ANALYZER,OTHER,E3631A,MY52460031,6A 25V POWER SUPPLY - DUAL,,E535200,,,,700,2015,1,bench 17,in use,,,
371,ANALYZER,OTHER,E3644,MY55406239,8A 20V POWER SUPPLY,,,,,,"1,000",2015,1,bench 17,in use,,,
372,ANALYZER,OTHER,E3644,MY55396362,8A 20V POWER SUPPLY,,,,,,"1,000",2015,1,bench 17,in use,,,
373,ANALYZER,OTHER,E3644,MY55406238,8A 20V POWER SUPPLY,,,,,,"1,000",2015,1,bench 17,in use,,,
374,ANALYZER,OTHER,N5171B,MY56200369,EXG ANALOG SIGNAL GENERATOR,,E594352,,,,"7,000",2016,1,bench 17,in use,,,
375,ANALYZER,OTHER,E8527D,MY48050167, 20GHz PSG Analog Signal Generator,,E482613,,,,"20,000",<2015,1,bench 17,in use -  Sent to Haifa foe FIB (Ynon/Gil) - ISM #1304180892,,,
376,ANALYZER,OTHER,E8527D,MY58040183, 31.5GHz PSG Analog Signal Generator,,E605386,,,,"50,000",2016,1,bench 17,in use,,,
377,ANALYZER,OTHER,E8527D,MY58040184, 31.5GHz PSG Analog Signal Generator,,E605387,,,,"50,000",2016,1,bench 17,in use,,,
378,ANALYZER,OTHER,DSOX3034T,MY58262834,4 CHANNEL 350MHz OSCILLOSCOPE,,,31.12.2018,31.12.2019,,"12,000",2016,1,bench 17,in use,,,
379,ANALYZER,OTHER,DSOX3034T,MY58262830,4 CHANNEL 350MHz OSCILLOSCOPE,,,31.12.2018,31.12.2019,,"12,000",2016,1,bench 17,in use,,,
380,ANALYZER,OTHER,DSA-X 93304Q,MY54410106,Infiniium Oscilloscope: 33 GHz,,,,,10.12.215.216,,,0,bench 17,Waterfalled to PG ISM:1304996712,,,
381,ANALYZER,OTHER,DSA-X 93304Q,MY54410107, Infiniium Oscilloscope: 63 GHz,,,,,10.12.215.216,"165,000",2016,1,bench 17,in use,,,
382,ANALYZER,OTHER,FSWP50,101334,Phase Noise Analyzer 50GHz,,E625046,11.7.2019,11.7.2020,,"135,000",2020,1,bench 17,in use,,,
383,ANALYZER,OTHER,2420,1369095,Precision Source/Measure Unit,,E512453,,,,"3,000",<2015,1,bench 17,"in use Sent from Lamb, Bryce Folsom",,,
384,ANALYZER,OTHER,2420,1369106,Precision Source/Measure Unit,,E512454,,,,"3,000",<2015,1,bench 17,"in use Sent from Lamb, Bryce Folsom",,,
385,ANALYZER,OTHER,2420,729525,Precision Source/Measure Unit,,E512460,,,,"3,000",<2015,1,bench 17,"in use Sent from Lamb, Bryce Folsom",,,
386,ANALYZER,OTHER,2420,729534,Precision Source/Measure Unit,,E512461,,,,"3,000",<2015,1,bench 17,"in use Sent from Lamb, Bryce Folsom",,,
387,ANALYZER,OTHER,TGF4242,517584,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
388,ANALYZER,OTHER,TGF4242,517585,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
389,ANALYZER,OTHER,TGF4242,517587,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
390,ANALYZER,OTHER,TGF4242,517588,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
391,ANALYZER,OTHER,TGF4242,517589,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
392,ANALYZER,OTHER,TGF4242,515637,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
393,ANALYZER,OTHER,TGF4242,515639,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
394,ANALYZER,OTHER,TGF4242,513143,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
395,ANALYZER,OTHER,TGF4242,,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
396,ANALYZER,OTHER,TGF4242,,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
397,ANALYZER,OTHER,TGF4242,,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
398,ANALYZER,OTHER,TGF4242,,"ARBITRARY/FUNCTION/PULSE GEN, 240MHZ",,,,,,1400,2019,1,bench 17,in use,,,
399,ANALYZER,OTHER,MFG-2260MRA,GES912214,"ARBITRARY/FUNCTION/PULSE GEN, 320MHZ",,,,,,1500,2019,1,bench 17,in use,,,
400,ANALYZER,OTHER,MFG-2260MRA,GES912209,"ARBITRARY/FUNCTION/PULSE GEN, 320MHZ",,,,,,1500,2019,1,bench 17,in use,,,
401,ANALYZER,OTHER,MFG-2260MRA,,"ARBITRARY/FUNCTION/PULSE GEN, 320MHZ",,,,,,1500,2019,1,bench 17,in use,,,
402,ANALYZER,OTHER,MFG-2260MRA,,"ARBITRARY/FUNCTION/PULSE GEN, 320MHZ",,,,,,1500,2019,1,bench 17,in use,,,
403,ANALYZER,OTHER,MFG-2260MRA,,"ARBITRARY/FUNCTION/PULSE GEN, 320MHZ",,,,,,1500,2019,1,bench 17,in use,,,
404,ANALYZER,OTHER,E8527D,MY58460294,67GHz PSG Analog Signal Generator,,E625047,,,1,"95,000",2019,1,bench 17,in use,,,
405,ANALYZER,OTHER,DAC10002,113,112G PAM4 AWG ,,E625048,,,1,"145,000",2019,1,bench 17,in use 200001597291,,,
406,ANALYZER,OTHER,MU196040B,6262081217,116G PAM4  Error detector Module,,E625049,,,,"150,000",2020,1,bench 17,in use 200001650235 PO:3001880353,,,
407,ANALYZER,OTHER,J9071,AJ305,Noisecom Jitter Generator ,,E625050,,,,"135,000",2020,1,bench 17,in use 2000016,,,
408,ANALYZER,OTHER,E8527D,MY60020317,PSG analog signal generator (67GHz),,E625051,,,,"100,000",2020,1,bench 17,in use 2000016,,,
409,ANALYZER,OTHER,N1000A,MY59280370,85GHz Sampling scope ,N1060A,E625052,,,,"235,000",2020,1,bench 17,in use 2000016 - Warenty until 1/2024,,,
410,ANALYZER,OTHER,M8199A,DE60C00120,ARBITRARY WAVE GEN112GBAUD M8199A,,E625053,,,,"383,000",2021,1,bench 17,in use 200001695381 - Warenty until 2/2024,,,
436,ANALYZER,OTHER,N1000A,MY61340115,85GHz Sampling scope ,N1060A,E625055,,,,"235,000",2021,1,bench 17,in use 2000016               PO:3002094999 - Warenty until 3/2025,,,
411,ANALYZER,OTHER,CLE-1200,12521163,67GHz Varilible ISI ,,E625056,,,,"28,000",2022,1,bench 17,in use                                PO:3002158997,,,
437,ANALYZER,OTHER,UXR1104A,MY59450111,INFINIIUM UXR REAL-TIME SCOPE UXR1104A,,E625054,,,,"1,300,000",2021,1,bench 17,in use 200001695808 - Warenty until 3/2024,,,
412,ANALYZER,OTHER,CLE-1200,12321163,67GHz Varilible ISI ,,E625057,,,,"28,000",2022,1,bench 17,in use                                PO:3002158997,,,
413,ANALYZER,OTHER,CLE-1200,12421163,67GHz Varilible ISI ,,E625058,,,,"28,000",2022,1,bench 17,in use                                PO:3002158997,,,
414,ANALYZER,OTHER,FSWP50,,Phase Noise Analyzer 50GHz,,E625059,10.3.2022,,,"138,000",2022,1,bench 17,in use                               PO:3002157615,,,
415,ANALYZER,OTHER,L8990M-0G6,US61040001,70GHz 0G6 Custom Modular Switch Matrix ,,E625060,,,,"34,000",2021,1,bench 17,in use,,,
416,ANALYZER,OTHER,L8990M-0G6,US61040002,70GHz 0G6 Custom Modular Switch Matrix ,,E625061,,,,"34,000",2021,1,bench 17,in use,,,
417,ANALYZER,OTHER,L8990M-0G6,US61040003,70GHz 0G6 Custom Modular Switch Matrix ,,E625062,,,,"34,000",2021,1,bench 17,in use,,,
418,ANALYZER,OTHER,L8990M-0G6,US61040005,70GHz 0G6 Custom Modular Switch Matrix ,,E625063,,,,"34,000",2021,1,bench 17,in use,,,
419,ANALYZER,OTHER,L8990M-0G6,US61040006,70GHz 0G6 Custom Modular Switch Matrix ,,E625064,,,,"34,000",2021,1,bench 17,in use,,,
420,ANALYZER,OTHER,UXR0594AP,MY62120101,INFINIIUM UXR REAL-TIME SCOPE UXR0594AP (70GHz),,E625065,,,1,"585,000",2022,1,bench 17,in use - Warenty until 5/2025,,,
421,ANALYZER,OTHER,E5061B,MY49811997, 5Hz-3GHz ENA NETWORK ANALYZER,,E625066,,,1,40000,2022,1,bench 17,in use  - ,,,
422,ANALYZER,OTHER,MG3697C,221801, 70GHz Analog Signal Generator,,E625067,,,1,"76,000",2022,1,bench 17,in use PO:3002159447,,,
423,ANALYZER,OTHER,J9082,AK848,Noisecome J9082 Noise Generator,,E625068,,,1,"145,000",2022,1,bench 17,in use PO:3002174085,,,
424,ANALYZER,OTHER,J9082,AK849,Noisecome J9082 Noise Generator,,E625069,,,,"145,000",2022,1,bench 17,in use PO:3002174085,,,
425,ANALYZER,OTHER,M8050A,MY62800202,M8050A High-Performance BERT 120 Gbaud,M8042A,E625070,,,,"517,000",2022,1,bench 17,in use - M8042A MY62800202 PO:3002200922 Warenty until 9/2025,,,
426,ANALYZER,OTHER,S-4-8200,53060,Test chamber ,,E625071,,,,"34,000",2022,1,bench 17,in use,,,
427,ANALYZER,OTHER,K87057-001,23021202,Samson Thermal controler ,,E625072,,,,16000,2023,1,bench 17,in use,,,
428,ANALYZER,OTHER,K87057-001,23021203,Samson Thermal controler ,,E625073,,,,"16,000",2023,1,bench 17,in use,,,
429,ANALYZER,OTHER,CLE-1200,16622129,67GHz Varilible ISI ,,E625074,,,,"30,000",2024,1,bench 17,in use                                PO:3002281302,,,
430,ANALYZER,OTHER,CLE-1200,16722129,67GHz Varilible ISI ,,E625075,,,,"30,000",2024,1,bench 17,in use                                PO:3002281302,,,
431,ANALYZER,OTHER,BIG SMARK 200F,LS0015665,Fiber marking laser,,E625076,,,,"70,000",2022,1,bench 17,in use     Asset: 200001782295-0000                 PO:3002199207,,,
432,ANALYZER,OTHER,TS-600,SCP22PRSP139-1,Pico Probing station,,E625077,,,,"186,000",2023,1,bench 17,in use     Asset: -0000                 PO:3002287519,,,
433,ANALYZER,OTHER,SMA100B,,67GHz Sine Generetor,,E6,,,,"110,000",2023,1,bench 17,in use     Asset: -0000                 PO:3002289229,,,
434,ANALYZER,OTHER,N5224B,, 110Ghz PNA NETWORK ANALYZER,N5292A,E6,,,1,"510,000",2023,1,bench 17,in use     Asset: -0000                 PO:300,,,
435,ANALYZER,OTHER,M8040A,TW58110131,M8040A High-Performance BERT 64 Gbaud,M8045A,e6,,,,"450,000",2021,1,bench 17,in use ,,,
